"fid","distance","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"29H4-VDB",252379.363264879,54.0474,-2.8016,"Halton-with-Aughton, Lancaster, Lancashire, England",52.2082,-0.5916,"Odell, Bedfordshire, England"
"29T6-NNW",189240.593252308,50.766,-2.14508,"Dorset, England, United Kingdom",52.4379,-1.6496,"England, United Kingdom"
"29T6-NVP",139394.328933821,48.4178,6.0561,"Vaudémont,54552,Meurthe-et-Moselle,Grand Est,FRANCE,",49.4338,4.942,"Bar-lès-Buzancy,08049,Ardennes,Grand Est,FRANCE,"
"29TB-Z52",111602.876101738,53.83333,-0.93333,"Aughton, Yorkshire, England",54.76426,-1.57104,"Durham, England"
"29W6-H5L",236152.408291676,54.5169,-2.3589,"Great Musgrave, Westmoreland, England, United Kingdom",52.4379,-1.6496,"England, United Kingdom"
"29W7-747",170006.034212649,54.45,-0.61667,"South House, Sneaton, Yorkshire, England",53.5,-2.65,"Bryn, Lancashire, England"
"29W7-Q5H",172876.882678881,51.94,-4.51,"Gwynnionith, Deheubarth, Wales",53.25022,-3.13731,"Iscoyd, Flintshire, Wales"
"29W7-W9P",169124.766533244,52.4139,0.71257,"Thetford St Mary the Less, Suffolk, England",53.78333,-0.38333,"Cottingham, Yorkshire, England"
"29WH-CQQ",130929.462190187,52.7012,-0.9559,"Ashby Folville, Leicestershire, England",51.5396,-0.6554,"Burnham, Buckinghamshire, England"
"29WT-8PQ",358095.030717494,51.25376,0.89348,"Badlesmere, Kent, England",54.24674,-1.05576,"Helmsley, Yorkshire, England"
"29WT-FSD",6663993.38995403,51.1881,10.0528,"Eschwege, Hessen Kassel, Germany",40.77194,-80.76833,"Lisbon, Columbiana, OH, USA"
"29WT-WLH",170135.611067965,51.11974,-2.9,"Somerset, England",52.4379,-1.6496,"England"
"29WT-X1G",322524.660944237,39.467,-77.4,"Frederick, Maryland, United States",40.7725,-80.7828,"Center Twp. Columbiana Co. OH"
"29WW-2LP",527452.253346866,53.24,-0.79,"Ragnall, Nottinghamshire, England",51.20802,6.20238,"Birth, Viersen, Nordrhein-Westfalen, Germany"
"29WW-379",101893.046219541,56.16667,-3.01667,"Methil, Fifeshire, Scotland",56.81674,-4.18396,"Scotland"
"29WW-8N8",115964.325282017,52.66486,9.25025,"Wölpe, Erichshagen, Nienburg, Hannover, Preußen, Duitsland",52.96667,10.9,"Kloster Bücken, Hannover, Dld"
"29WW-CTM",213192.101072233,51.22608,0.75054,"Kent, England",52.4379,-1.6496,"England"
"29WW-KZH",163549.252247029,56.3037,-3.0996,"Fife, Fifeshire, Scotland",57.68088,-4.03921,"Cromartyshire, Scotland"
"29Y7-GPM",107601.155041128,53.1,-0.2,"Tattershall, Lincolnshire, England",52.6043,1.1742,"Hethersett, Norfolk, England"
"29Y9-CR1",170828.397064267,51.91107,-2.51064,"Eccleswall, Herefordshire, England",51.51,-0.12,"London, Middlesex, England"
"29YH-MW9",472167.899663963,53.35,-1.51666,"Plumpton by Ecclesall, Yorkshire, England",49.9167,2.5,"Somme, Picardie, France"
"29YL-ZQV",136526.174806693,53.4853,-2.1783,"Clayton, Lancashire, England",54.6645,-2.7529,"Penrith, Cumberland, England"
"29YP-N36",499668.496041834,48.0631,-0.0769,"of St Symphoro, Lamans, Maine, France",52.4379,-1.6496,"England"
"2B2Y-DKS",257749.862908728,53.02386,-2.66038,"Booths Hall, Norbury, Cheshire, England",51.3609,-0.0315,"Addington, Surrey, England, United Kingdom"
"2C19-676",174375.390341968,51.20858,-2.17976,"Warminster, Wiltshire, England",52.4177,-0.5687,"Lowick, Northamptonshire, England"
"2CMM-V16",172952.329795724,53.752,-0.2691,"Marfleet, Holderness, Yorkshire, England",52.4379,-1.6496,"England"
"2CNB-WKW",431758.42551191,48.8936,-0.202,"Falaise, Calvados, Normandy, France",46.2746,4.0415,"Marcigny, Saône-et-Loire, Bourgogne, France"
"2CNY-4TZ",5180751.71780087,51.8886,0.8999,"Colchester, Essex, England",43.7403,-70.2786,"Falmouth, Cumberland, Massachusetts Bay Colony, British Colonial America"
"2CQZ-3YB",143941.164436597,53.23848,-7.63162,"County Offaly, Ireland",51.9543,-7.8805,"Youghal, Cork, Ireland"
"2CY7-XCK",167245.675847904,56,10,"Denmark",54.518,9.567,"Slesvig, Schleswig-Holstein, Germany"
"2CYQ-3QH",197455.5580149,52.67827,0.97259,"Norfolk, England",53.95878,-1.08248,"Yorkshire, England"
"2CYW-WYS",229723.15365503,49.6986,2.7938,"Roye, Somme, Hauts-de-France, France",48.1876,0.6535,"La Ferté-Bernard, Sarthe, Pays-de-la-Loire, France"
"2DXK-MQ5",110927.739103889,52.4379,-1.6496,"England",53.26667,-0.73333,"Kettlethorpe, Lincolnshire, England"
"2HKB-8QG",326424.480877617,55.43333,-5.2,"Kildonan,Kilmory, North Ayrshire, Ayrshire and Arran, Scotland, United Kingdom",53,-8,"Ireland"
"2HM3-FSL",808158.281411243,46,2,"France",52.9555,-1.2114,"Wollaton, Nottinghamshire, England"
"2HMS-7W4",5393187.56892638,53,-8,"Ireland",40.4167,-79.4833,"Salem Township, Westmoreland, Pennsylvania, United States"
"2HS8-Y1T",250728.19169274,51.1274,1.312,"Dover, Kent, England",52.4379,-1.6496,"England"
"2HS8-YQ6",289938.740602257,51.22608,0.75054,"Kent, England",53.161,-2.0947,"Rushton Spencer, St. Helens, Staffordshire, England"
"2HSD-7G9",6086791.10520118,50.9512,0.7326,"Rye, Sussex, England",37.2081,-76.7744,"Jamestown, James City, Virginia, British Colonial America"
"2JFF-BQB",402397.064298776,48,0.0833,"Sarthe, Pays de la Loire, France",46,4.5,"Rhône, Auvergne-Rhône-Alpes, France"
"2JYX-6JY",329108.371339424,56.03333,-3.75,"Bothkennar, Stirlingshire, Scotland",58.95,-2.85,"St. Andrews, Orkney, Scotland, United Kingdom"
"2M5Y-XNY",5295131.13053361,51.7505,0.384,"Roxwell, Essex, England",42.36046,-71.05912,"Boston, Suffolk, Massachusetts Bay Colony, British Colonial America"
"2MGY-GL8",840217.811959973,52.33781,-1.56089,"Griffe, Warwickshire, England",44.97814,0.98308,"Calais, Dordogne, Aquitaine, France"
"2MJW-3YW",163096.75360443,53.31216,-3.03803,"Raby, Cheshire, England",54.58333,-1.8,"Raby Castle, Durham, England"
"2MQP-R6L",115025.977796339,51.76274,-0.65918,"Milton Keynes, Buckinghamshire, England",52.3353,-2.0579,"Bromsgrove, Worcestershire, England"
"2MRG-D8H",155117.656509299,52.54356,-2.08542,"Dudley, Staffordshire, England",53.866,-2.8187,"Saint Michaels on Wyre, Lancashire, England"
"2MYM-NS1",439709.993541069,48.5133,3.2479,"Longueville, Departement de Seine-et-Marne, Île-de-France, France",52.0784,0.5832,"Clare, Suffolk, England"
"2NBQ-N1C",142793.891383353,52.4379,-1.6496,"England",53.17284,0.08961,"Eresby, Spilsby, Lincolnshire, England, United Kingdom"
"2RBD-PSM",5279535.11586137,51.51536,-0.0807,"London St Ethelburga, Middlesex, England",42.36667,-71.16667,"Watertown, Middlesex, Massachusetts Bay, British Colonial America"
"2S2L-2ZB",320247.230688403,50.6117,-2.4523,"Melcombe Regis, Dorsetshire, England",52.3006,1.2864,"Wilby, Suffolk, England"
"2S3P-BTG",102940.250186394,51.2987,7.6732,"Altena, Westphalia, Prussia, Germany",52.2194,7.8125,"Tecklenburg, Westfalen, Preußen, Duitsland"
"2S3P-JLV",178104.689155356,55.7536,37.6223,"Moscow, Moscow Uyezd, Moscow, Russian Empire",56.13655,40.39658,"Vladimir, Vladimirskaya Oblast', Russie"
"2S42-QHC",183349.367511406,51.70307,-0.70335,"Missenden, Hertfordshire, England",51.01193,-3.09766,"Taunton, Somerset, England"
"2S4K-92J",117984.026797829,52.7559,-0.9488,"Kirby Bellars, Leicestershire, England",53.4,-2.35,"Broadheath, Cheshire, England"
"2SF4-1J6",150816.922005823,52.9253,-1.577,"Radbourne, Derbyshire, England",51.78333,-0.38333,"Redbourn, Hertfordshire, England"
"2SFJ-KSH",109102.322365252,48.9395,2.6155,"Villeparisis, Seine-et-Marne, Île-de-France, France",49.9167,2.5,"Somme, Picardie, France"
"2SH6-PM4",131989.069084528,49.06309,10.61542,"Altentrüdingen, Wassertrüdingen, Ansbach, Middle Franconia, Bavaria, Germany",49.5714,8.9721,"Beerfelden, Erbach, Starkenburg, Hessen, Germany"
"2SQ7-DJ8",174057.189821371,55.26667,-3.81667,"Drumlanrig Castle, Dumfriesshire, Scotland",56.81674,-4.18396,"Scotland"
"2SQX-646",340096.450000579,50.25116,-5.06676,"Cornwall, England",52.4379,-1.6496,"England"
"2SQX-CRS",173474.549271006,53.95878,-1.08248,"Yorkshire, England",52.4379,-1.6496,"England"
"2SQX-DFK",340096.450000579,50.25116,-5.06676,"Cornwall, England",52.4379,-1.6496,"England"
"2T1P-DW5",120153.433701412,52.9324,-0.06685,"Kirton, Lincolnshire, England",52.4379,-1.6496,"England"
"2V4Q-SYX",294896.062720291,50.7225,-3.5328,"Exeter, Devon, England",51.3852,0.5482,"Gillingham, Kent, England"
"2W31-DFT",506882.571640589,51.88306,-4.01583,"Dinefwr Castle, Carmarthenshire, Wales",49.9167,2.5,"Somme, Picardy, France"
"2W49-S24",1065276.19863969,39.8833,-76.9833,"Berwick Township, Adams, Pennsylvania, United States",44.34361,-88.415,"Mackville, Outagamie, Wisconsin, United States"
"2W49-SNY",960811.757752941,40.75,-77.75,"Pennsylvania",44.34361,-88.415,"Mackville, Outagamie, WI, USA"
"2WC9-6DH",400412.345604521,53.1057,-0.1756,"Coningsby, Lincolnshire, England, United Kingdom",49.9167,2.5,"Somme Picardie France"
"2WCM-3JJ",1222167.19874327,40.25028,-83.00028,"Ohio, United States",47.1,-94.9,"Hubbard Co. MN"
"2WF8-KCX",123146.467798305,52.2046,0.1196,"Cambridge, Cambridgeshire, England",52.4379,-1.6496,"England"
"2WM7-P6G",197391.753405025,41.68333,-70.36667,"Barnstable, Barnstable, Massachusetts Bay, British Colonial America",41.2895,-72.6747,"Guilford, New Haven, Connecticut, British Colonial America"
"2WMN-81N",254956.660663928,41.6584,-72.3646,"Hebron, Hartford, Connecticut Colony, British Colonial America",42.3253,-75.3128,"Unadilla, Otsego, New York, United States"
"2WMX-QNW",340096.450000579,50.25116,-5.06676,"Cornwall, England",52.4379,-1.6496,"England"
"2WNK-Q13",147882.007468782,55.5,-4.5,"Ayrshire, Scotland",56.81674,-4.18396,"Scotland"
"2WVQ-B8Y",3923773.41403855,55.6473,-2.2243,"Cornhill on Tweed, Northumberland, England",31.7648,34.9948,"Jerusalem, Israel"
"2XKJ-XDR",274184.197476328,54.72366,-3.19577,"High Ireby, Cumberland, England",52.4379,-1.6496,"England"
"2XM9-V33",449255.796396146,41.77,-73.25,"Litchfield, Connecticut, United States",42.9,-78.4922,"Alden, Erie, New York, United States"
"2YG8-RYQ",103489.269540225,51.9086,-0.5838,"Tillsworth,Bedford,England,Great Britain",52.8281,-0.3593,"Dunsby, Lincolnshire, England"
"2YGB-QT4",236806.39395679,50.73788,-3.06935,"Colyton, East Devon district, Devonshire, England, United Kingdom",51.4472,0.1242,"London, City of London, Greater London, England, United Kingdom"
"2YPH-NZR",232213.54834868,51.69715,-4.82219,"Carew, Pembrokeshire, Wales",52.4379,-1.6496,"England"
"2Z31-QLM",109678.621378574,50.73646,-3.71887,"Prideaux, Devon, England",50.25116,-5.06676,"Orcharton, Cornwall, England"
"2Z32-W8W",171583.566559239,52.56304,-2.17598,"Penn, Staffordshire, England",53.95878,-1.08248,"Yorkshire, England"
"2Z34-VPX",726329.313260988,56,10,"Denmark",62,15,"Sweden"
"2Z37-CX9",101914.34649026,53.18268,-2.53046,"Cheshire, England",52.4379,-1.6496,"England"
"2Z3B-HWV",1121859.02327097,34,-81,"South Carolina, United States",34.05,-93.16667,"Clark, Arkansas, United States"
"2Z3H-71Z",290153.790465025,50.87927,4.70214,"Leuven, Brabant, Belgium",48.9926,1.9072,"Les Mureaux, Seine-et-Oise, France"
"2Z3W-MCD",283076.866122348,42.4547,-6.0528,"Astorga, León, Castilla y León, España",40.43,-4,"Spain"
"2Z98-JYL",146877.445338697,54.98333,-3.26666,"Annandale District, Dumfriesshire, Scotland",54.5978,-1.078,"Redcar, Yorkshire, England, United Kingdom"
"2Z98-K3Z",3398062.93574839,46.4352,0.1224,"Lusignan,86139,Vienne,Nouvelle-Aquitaine,FRANCE,",27,30,"Damiette,,,Gouvernorat de Damiette,ÉGYPTE,"
"2Z98-QKN",173788.679966413,46.2063,6.1436,"Geneva,Switzerland.",45.076,7.684,"Turin, Città Metropolitana di Torino, Piemonte, Italy"
"2Z98-ZS5",6199730.6381601,46,105,"Mongólia",47.5,19.0655,"Budapest, Budapest, Hungary"
"2Z9Z-RJP",122655.153091782,53.95878,-1.08248,"Yorkshire, England",54.93333,-1.96667,"Ridingmill, Northumberland, England"
"2ZS4-MJP",6025421.47786239,52.0952,0.8351,"Brent Eleigh, Suffolk, England",37.41667,-76.55,"Gloucester, Virginia, British Colonial America"
"2ZSH-SHD",421759.247849304,52.20464,0.11964,"Cambridge, Cambridgeshire, England",50.25116,-5.06676,"Cornwall, England"
"2ZVG-C1Y",6350494.69539963,50.33333,8.8,"Wetterau, HESSEN, Germany",40.418,-75.904,"Berks, Pennsylvania, United States"
"2ZVG-CW1",275831.889660422,52.0709,27.7363,"Turov, Zhytkavichy Raion, Gomel Oblast, Belarus",50.25,30.41667,"Kyiv, Ukraine"
"2ZVG-JS3",421676.444031988,43.2232,-0.8855,"Mauléon, Pyrenees-Atlantiques, Aquitaine, France",46.98157,-0.21527,"Thouars, Deux-Sèvres, Poitou-Charentes, France"
"4269-53C",322679.664681682,51.2477,0.60766,"Leeds, Kent, England",53.95878,-1.08248,"Yorkshire, England"
"451C-K1B",202886.942942975,51.7,7.08333,"Oelde, Marl, Kreis Recklinghausen, Provinz Westfalen, Freistaat Preußen, Deutschland",51.5,10,"Rüdensberg Deutschland"
"49ZF-5DR",272085.559676875,53.11546,-1.02722,"Nottinghamshire, England",50.6775,-1.30988,"Isle of Wight, Hampshire, England"
"4J1Q-G46",5882691.33752541,51.011,-1.651,"Whiteparish, Wiltshire, England, United Kingdom",37.6,-76.56667,"Middlesex, Virginia, United States"
"4VDG-R57",107810.218893075,50.85636,-1.23114,"Titchfield, Hampshire England",51.4927,-0.0666,"Bermondsey, Surrey, England"
"4XP1-3FS",274434.958730193,50.7687,0.2845,"Eastbourne, Sussex, England",53.14,-0.81,"Cromwell, Nottinghamshire, England"
"4YZ5-NW5",5159841.81336618,51.7392,-2.2353,"Rodborough, , England, United Kingdom",42.25,-71.5,"Massachusetts"
"6MW2-M4Y",4982712.45850318,50.73646,-3.71887,"Devonshire, England",43.30556,-70.84611,"Berwick, York, Maine, United States"
"8B91-NBN",5310106.51935868,52.1579,0.7862,"Cockfield, Suffolk, England",42.37083,-71.11667,"Cambridge, Middlesex, Massachusetts Bay Colony, British Colonial America"
"9312-9YS",142237.355528252,52.4379,-1.6496,"England",53.66667,-1.06667,"Pollington, Yorkshire, England"
"9335-DFM",512164.134425013,52,-4.01666,"Rhydodyn, Carmarthenshire, Wales",49.9167,2.5,"Somme, Picardy, France"
"9336-WF9",151067.682285126,52.4265,0.5762,"Wangford, Suffolk, England",52.4379,-1.6496,"England"
"933B-V3S",162432.767323027,53.15812,-0.23925,"Lincolnshire, England",54.5363,-1.0519,"Guisborough, Yorkshire, England"
"933D-4PJ",5310441.32878573,51.85229,0.61466,"Essex, England",42.6,-71.36667,"Chelmsford, Middlesex, Massachusetts, United States"
"933H-W94",1107685.50278211,47.79879,18.74345,"Esztergom, Komárom-Esztergom, Magyarország",41.01105,28.9578,"Istanbul, Fatih, İstanbul, Turkey"
"934P-JKR",531243.363659734,55.6473,-2.2243,"Cornhill on Tweed, Northumberland, England",51.08333,0.11666,"Bolebrook, Sussex, England"
"934P-X69",692485.210822688,49.2042,2.5862,"Senlis, Oise, Picardie, France",54.63247,-2.3516,"Northumberland, England"
"934Q-GWT",834059.163400892,52.8,-6.15,"Arklow Castle, County Wicklow, Ireland",46.5833,0.3333,"Poitiers, Departement de la Vienne, Poitou-Charentes, France"
"934R-3XK",206495.5202796,50.93333,-3.4,"Sampford-Peverell, Devon, England",52.4379,-1.6496,"England"
"934R-832",370228.217875757,51.43057,-3.1888,"Cogan, Glamorganshire, Wales",51.7087,-8.522,"Kinsale, County Cork, Irlanda"
"934R-DV6",223234.224544562,51.9573,-1.967,"Winchcomb, Gloucestershire, England",50.55,-4.25,"Sydenham Damerel, Devon, England"
"934R-S4W",377151.284603028,54.06517,-1.25164,"Youlton, Easingwold, Yorkshire, England",51.1178,-4.004,"Shirwell, Barnstaple, Devon, England"
"935N-8ZG",1062457.47796975,40.37,-76.45,"Lebanon, Pennsylvania, United States",40.1536,-88.9644,"Clinton, DeWitt, Illinois, United States"
"935N-8ZS",6560171.26334391,49.44,7.76,"Gangloff, Palatinate, Bavaria, Germany",40.2833,-79.3678,"Youngstown, Westmoreland, Pennsylvania, United States"
"936V-VTQ",451181.771161032,48.8832,1.4588,"Ivry La Bataille, Eure, Normandy, France",52.90197,0.6241,"Docking, Norfolk, England"
"9372-P1J",106441.786655756,52.66667,-3.9,"Tal-y-llyn, Merionethshire, Wales",52.04999,-2.70342,"Hereford St Owen, Herefordshire, England, United Kingdom"
"9376-SL8",417576.256085908,54.8976,-3.2032,"Kirkbride, Cumbria, England",51.4842,-0.6043,"Windsor Castle, Windsor, Berkshire, England"
"9379-XGJ",782277.667037103,47.3272,5.044,"Dijon, Cote d'Or, Bourgogne, France",51.48417,-3.67806,"Newton, Glamorgan, Wales"
"937H-9FQ",110823.766210144,53.25022,-3.13731,"Llwyn-on, Flintshire, Wales",52.33022,-3.76641,"Wales, United Kingdom"
"937J-6MV",164692.622174213,52.03333,-4.53333,"Emlyn, Carmarthenshire, Wales",51.88419,-2.14462,"Gloucestershire, England"
"937V-NCR",386578.132547663,53.23282,-3.27338,"of,Ysgeifiog,Flintshire,Wales",53.8504,-9.0259,"killed"
"937V-PR6",237389.349200265,53.06666,-4.31666,"Glyn Llifon, Llandwrog, Caernarvon, Wales",51.11974,-2.9,"Somerset, England"
"937W-D25",482216.354287079,51.79044,-2.9685,"Lngtwgdyfrynwysg, Abergavennym, Monmouthshire, England",49.5,2.8333,"Y, Somme, Picardie, France"
"938M-CTX",326115.762488082,56.81674,-4.18396,"Scotland",54.33333,-1.43333,"Northallerton, Yorkshire, England"
"938M-ZJC",332256.93776988,48.4538,-2.046,"Dinan, Bretagne, France",50.991,-4.4787,"Hartland, Bideford, Devon, England"
"93B2-DJ4",120917.000033302,53.15,0.25,"Burgh le Marsh, Lincolnshire, England",52.21667,-0.66667,"Bozeat, Northamptonshire, England"
"93C9-Y3V",316282.964824055,50.2919,3.1561,"Bugnicourt, Nord, Nord-Pas-de-Calais, France",51.352,-1.0175,"Stratfield Saye, Hampshire, England"
"93DX-257",382605.046781328,51.25,4.86,"Duchy of Brabant, Holy Roman Empire",50.98333,-0.6,"Petworth, Sussex, England"
"93F4-VQ1",122361.558560043,51.92781,-4.78645,"Maenclochog, Pembrokeshire, Wales, United Kingdom",52.5021,-3.2567,"Kerry, Montgomeryshire, Wales, United Kingdom"
"93FY-JDM",250246.28566431,52.9324,-0.06685,"Kirton, Lincolnshire, England",51.06072,-2.0897,"Tisbury, Wiltshire, England"
"93HC-RM1",114756.14969999,49.8836,1.1269,"Arques la Bataille, Seine-Maritime, Haute-Normandie, France",48.928,0.5326,"Normandie, Françe"
